segment,task_id,soc,occupation_title,skill_onet_wa,dwa_titles,E_onet_task,classification,confidence,matched_categories,matched_indicators,task_text,justification
top20,979,11-3021.00,Computer and Information Systems Managers,"['Judging the Qualities of Objects, Services, or People']",Analyze data to determine project feasibility.,0.8191743277268002,Intrapreneurial,High,II | V.B,Assess project feasibility and requirements (plan/organize) | Convert ideas/proposals into feasible plans | Interpret and shepherd entrepreneurial opportunities | Identify resources and requirements to pursue opportunities,Evaluate data processing proposals to assess project feasibility and requirements.,"Assessing proposals to determine feasibility and requirements aligns with planning/preparation and managerial evaluation of new projects (II) and with middle-manager actions to interpret and shepherd opportunities (V.B). This involves converting ideas into workable plans, deciding resource/requirement needs, and informing go/no-go decisions."
top20,974,11-3021.00,Computer and Information Systems Managers,"['Guiding, Directing, and Motivating Subordinates']",Manage organizational or project budgets.,0.8191743277268002,Not Intrapreneurial,High,,,Control operational budget and expenditures.,"Controlling budgets/expenditures is a routine financial/administrative managerial duty without explicit signals of opportunity discovery, advocacy, implementation of new initiatives, innovation, or eco-innovation. Metadata indicates a managerial finance context but the task describes maintenance/control rather than launching or championing new business activities."
top20,16788,19-1029.01,Bioinformatics Scientists,['Thinking Creatively'],Develop software or applications for scientific or technical use.,0.8151173488624801,Intrapreneurial,Medium,III | IV,Implement new ideas / put effort into pursuing new applications | Lead development and take initiative in building tools | Show innovative and creative behaviors in software design | Take technical risks and use out-of-the-box solutions,Create or modify web-based bioinformatics tools.,"Developing or modifying web-based bioinformatics tools involves implementing new technical solutions and can constitute leading and executing new product/features (III) and requires innovative, creative problem-solving and risk-taking in technical design (IV). In the context of bioinformatics software development, this aligns with implementing new applications and using creative thinking to deliver scientific/technical tools."
top20,16783,19-1029.01,Bioinformatics Scientists,['Training and Teaching Others'],Train personnel in technical or scientific procedures.,0.8151173488624801,Not Intrapreneurial,High,,,Instruct others in the selection and use of bioinformatics tools.,"This task describes training/teaching (routine knowledge transfer and skill development) without signals of opportunity discovery, business planning/advocacy, implementing new business activities, innovation/risk-taking, or eco-innovation. It aligns with routine personnel development rather than entrepreneurial action."
top20,16791,19-1029.01,Bioinformatics Scientists,['Getting Information'],Research genetic characteristics or expression.,0.8151173488624801,Not Intrapreneurial,High,,,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.","This task describes routine data compilation/preparation for downstream analyses (maintenance/administrative support). It lacks signals of opportunity discovery, idea generation, advocacy/planning, implementation of new business activities, risk-taking, managerial actions, or eco-innovation described in criteria I–VI."
top20,16795,19-1029.01,Bioinformatics Scientists,['Analyzing Data or Information'],Analyze biological samples.,0.8151173488624801,Not Intrapreneurial,High,,,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.","This task describes routine technical analysis of molecular datasets for research — a core analytic activity without explicit signals of generating or championing new opportunities, planning new business or product launches, leading implementation, taking entrepreneurial risks, managerial role actions, or eco-innovation. It matches routine execution/analysis rather than criteria I–VI."
top20,16786,19-1029.01,Bioinformatics Scientists,['Thinking Creatively'],Develop software or applications for scientific or technical use.,0.8151173488624801,Intrapreneurial,High,I | II | III | IV,Design new products or recombine resources (convert scientific needs into software) | Develop comprehensive solutions/business-ready applications | Implement new ideas and take initiative to build/deploy applications | Show innovative/creative behaviors and use out-of-the-box technical approaches,Develop new software applications or customize existing applications to meet specific scientific project needs.,"Creating or customizing software to meet scientific project needs involves designing new products/solutions, converting ideas into workable applications, and implementing them—showing opportunity realization, innovation, and active execution consistent with criteria I, II, III, and IV. Context (bioinformatics software development) supports internal product/solution development."
top20,16790,19-1029.01,Bioinformatics Scientists,['Thinking Creatively'],Develop software or applications for scientific or technical use.,0.8151173488624801,Intrapreneurial,High,I | II | III | IV,"Generate creative ideas and novel approaches | Design new tools/products for technical use | Implement and develop new analytical solutions | Exhibit innovative, out-of-the-box technical problem solving",Create novel computational approaches and analytical tools as required by research goals.,"Task explicitly requires generating novel approaches and tools (idea generation and product design), implementing analytical solutions for research goals (execution/implementation), and implies innovation and risk-taking typical of R&D in bioinformatics/software development. Matches opportunity discovery, planning/design, implementation, and innovative behavior criteria (I, II, III, IV)."
top20,16793,19-1029.01,Bioinformatics Scientists,['Thinking Creatively'],Develop technical or scientific databases.,0.8151173488624801,Not Intrapreneurial,High,,,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.","The task describes technical data manipulation and maintenance of databases without indication of idea generation, opportunity discovery, planning/advocacy, implementing new business activities, risk-taking, managerial initiative, or eco-innovation. It fits routine/executional work rather than intrapreneurial behaviors (I–VI)."
top20,3590,17-2171.00,Petroleum Engineers,"['Guiding, Directing, and Motivating Subordinates']",Supervise engineering or other technical personnel.,0.8000506874909044,Not Intrapreneurial,High,V.C,Supervise/deploy staff to maximize personnel utilization | Adjust or allocate competencies/processes for operations (first-level managerial action),Assign work to staff to obtain maximum utilization of personnel.,"This is a routine supervisory/resource-allocation task (assigning and deploying staff to maximize utilization) rather than activity that discovers, plans, champions, or implements new business opportunities or innovations. It aligns with first-level managerial/supervisory duties but lacks signals of opportunity discovery, advocacy, new product/process implementation, or eco-innovation."
top20,3588,17-2171.00,Petroleum Engineers,['Documenting/Recording Information'],Prepare technical reports for internal use.,0.8000506874909044,Not Intrapreneurial,High,,,Write technical reports for engineering and management personnel.,"Task describes routine documentation for internal audiences (technical reports) without signals of opportunity discovery, advocacy for new ventures, implementation of new products/processes, risk-taking, managerial entrepreneurial actions, or eco-innovation. It aligns with maintenance/administrative reporting rather than criteria I–VI."
top20,3589,17-2171.00,Petroleum Engineers,['Analyzing Data or Information'],Interpret design or operational test results.,0.8000506874909044,Intrapreneurial,High,I | II | III | V.C,"Evaluate findings to recognize opportunities and inform design (I: recognize/perceive opportunities, acquire information) | Design or develop new equipment/processes (II: design new products or recombine resources; develop plans) | Test and implement equipment/process changes (III: implement new ideas; act entrepreneurially; lead idea development) | Experiment to surface operational ideas for innovative improvements (V.C: experiment and adjust processes)","Evaluate findings to develop, design, or test equipment or processes.","Evaluating findings to develop, design, or test equipment or processes involves converting information into new or improved designs and experiments, implementing and testing innovations, and surfacing operational improvements — matching opportunity generation, planning/design, execution, and first-level managerial experimentation criteria."
top20,3581,17-2171.00,Petroleum Engineers,['Analyzing Data or Information'],"Analyze physical, survey, or geographic data.",0.8000506874909044,Intrapreneurial,High,I | II | III,Identify opportunity for optimal well placement (recognize opportunities worth pursuing) | Recommend supplementary processes (convert ideas into feasible plans / design new processes) | Make implementation-focused recommendations and inform operational decisions (lead exploitation / take initiative),Analyze data to recommend placement of wells and supplementary processes to enhance production.,"The task involves identifying opportunities (optimal well placement), generating recommendations for new/changed processes to enhance production (planning/advocacy), and drives implementation-focused decisions—matching opportunity discovery (I), planning/preparation (II), and execution/implementation behaviors (III) in an engineering context."
top20,3586,17-2171.00,Petroleum Engineers,['Documenting/Recording Information'],Maintain operational records or records systems.,0.8000506874909044,Not Intrapreneurial,High,,,Maintain records of drilling and production operations.,"The task describes routine documentation and record-keeping (maintenance of operational records), which is administrative and service-oriented rather than discovery, planning, advocacy, implementation of new opportunities, innovation, or managerial actions described in criteria I–VI."
top20,3580,17-2171.00,Petroleum Engineers,"['Monitoring Processes, Materials, or Surroundings', 'Developing Objectives and Strategies']",Develop technical methods or processes. | Monitor the productivity or efficiency of industrial operations.,0.8000506874909044,Intrapreneurial,Medium,V.C | III,Adjust processes through competence modification | Experiment to surface operational ideas for innovative improvements | Put effort into pursuing new business/operational improvements,"Monitor production rates, and plan rework processes to improve production.","The task goes beyond routine monitoring by explicitly planning process rework to improve production, which aligns with role-specific first-level managerial actions to adjust and experiment with processes (V.C) and with execution/implementation behaviors to pursue operational improvements (III). Context (petroleum engineering, monitoring and developing methods) supports operational innovation rather than purely administrative work."
top20,3591,17-2171.00,Petroleum Engineers,['Interpreting the Meaning of Information for Others'],"Explain engineering drawings, specifications, or other technical information.",0.8000506874909044,Not Intrapreneurial,High,,,Interpret drilling and testing information for personnel.,"The task describes routine interpretation and communication of technical drilling/testing information to personnel—an explanatory/training or informational activity rather than opportunity discovery, planning, implementation of new business activities, or eco-innovation. It lacks signals of idea generation, advocacy for new initiatives, implementation of new products/processes, risk-taking, or managerial actions aimed at creating new ventures."
top20,17231,29-1224.00,Radiologists,['Thinking Creatively'],Develop healthcare quality and safety procedures.,0.7815423793578383,Intrapreneurial,High,I | V.C,Anticipate problems and opportunities / recognize areas of high risk | Experiment to surface operational ideas for innovative improvements / adjust processes,Participate in quality improvement activities including discussions of areas where risk of error is high.,"Participating in QI discussions involves identifying opportunities and anticipating problems (I) and aligns with first-level managerial actions to experiment and adjust processes for improvement (V.C). This is proactive, problem-focused behavior beyond routine execution."
top20,17254,29-1224.00,Radiologists,"['Analyzing Data or Information', 'Controlling Machines and Processes']",Analyze test data or images to inform diagnosis or treatment. | Operate diagnostic imaging equipment.,0.7815423793578383,Not Intrapreneurial,High,,,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.","This task describes routine clinical performance and interpretation of diagnostic imaging—a professional, operational activity focused on service delivery and analysis without signals of opportunity discovery, innovation, planning/advocacy, implementation of new business activities, risk-taking, or eco-innovation required by criteria I–VI."
top20,17234,29-1224.00,Radiologists,['Updating and Using Relevant Knowledge'],Maintain medical or professional knowledge.,0.7815423793578383,Not Intrapreneurial,High,,,Participate in continuing education activities to maintain and develop expertise.,"This task describes routine professional development and knowledge maintenance for a radiologist (maintenance of professional knowledge). It lacks signals of opportunity discovery, planning/advocacy, implementation of new business activities, innovation/risk-taking, managerial actions to create new ventures, or explicit eco-innovation (criteria I–VI)."
top20,17242,29-1224.00,Radiologists,['Documenting/Recording Information'],Prepare reports summarizing patient diagnostic or care activities.,0.7815423793578383,Not Intrapreneurial,High,,,Prepare comprehensive interpretive reports of findings.,"Task describes routine documentation and diagnostic reporting typical of radiology practice (administrative/clinical recording) without signals of opportunity discovery, planning/advocacy, implementing new business activities, innovation, or eco-innovation. Metadata (radiologist/report summarization) supports a maintenance/recording interpretation rather than intrapreneurial action."
top20,17248,29-1224.00,Radiologists,['Documenting/Recording Information'],Record patient medical histories.,0.7815423793578383,Not Intrapreneurial,High,,,"Document the performance, interpretation, or outcomes of all procedures performed.","This task describes routine documentation/recording of procedures and outcomes, which is administrative and maintenance-oriented without signals of idea generation, planning/advocacy, implementation of new opportunities, risk-taking, managerial entrepreneurial actions, or eco-innovation (does not meet any of criteria I–VI). The occupation context (radiologists; documenting medical histories) reinforces this as standard recordkeeping."
top20,17249,29-1224.00,Radiologists,['Thinking Creatively'],Develop healthcare quality and safety procedures.,0.7815423793578383,Intrapreneurial,Medium,II | III | V.C,Design new processes / develop procedures (plan and organize) | Implement and monitor new or improved practices (put effort into pursuing improvements) | Adjust processes through competence modification / experiment to surface operational ideas,Develop or monitor procedures to ensure adequate quality control of images.,"Developing or monitoring QC procedures involves planning and organizing new or improved processes and implementing/adjusting operational practices—matching Planning/Preparation (II), Execution/Implementation (III), and First-Level Managerial Actions (V.C). In the radiology quality/safety context this is process design and oversight rather than purely routine service."
top20,17239,29-1224.00,Radiologists,"['Analyzing Data or Information', 'Performing Administrative Activities']","Analyze test data or images to inform diagnosis or treatment. | Send information, materials or documentation.",0.7815423793578383,Not Intrapreneurial,High,,,Review or transmit images and information using picture archiving or communications systems.,"This task describes routine review and transmission of images/information using PACS/communication systems—administrative/clinical workflow activity without signals of opportunity discovery, planning, advocacy, implementation of new initiatives, innovation, or managerial actions described in I–VI."
top20,15423,11-3051.01,Quality Control Systems Managers,['Documenting/Recording Information'],Document organizational or operational procedures.,0.7497946229502536,Not Intrapreneurial,High,,,"Document testing procedures, methodologies, or criteria.","This task describes routine documentation of procedures (administrative/maintenance) without signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation."
top20,15416,11-3051.01,Quality Control Systems Managers,['Documenting/Recording Information'],Prepare operational progress or status reports.,0.7497946229502536,Not Intrapreneurial,High,,Routine reporting of nonconformance and daily production quality | Preparation of operational progress/status reports and documentation | Regular root-cause analysis as maintenance/problem resolution rather than opportunity creation,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.","The task describes routine monitoring and reporting (daily quality, nonconformance reports, trend tracking) and regular root-cause analyses for maintenance and control rather than discovery, advocacy, or implementation of new business opportunities. This aligns with administrative/documentation and operational problem-solving rather than criteria I–VI for intrapreneurship."
top20,15425,11-3051.01,Quality Control Systems Managers,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","Develop operating strategies, plans, or procedures. | Implement organizational process or policy changes.",0.7497946229502536,Intrapreneurial,Medium,II | III | V.C,Design new procedures / convert ideas into feasible plans | Implement new ideas and put effort into pursuing process changes | Adjust processes through competence modification / experiment to surface operational improvements,Create and implement inspection and testing criteria or procedures.,"The task requires designing (planning) new procedures and putting them into practice, which matches planning/preparation and execution behaviors; it also aligns with first-level managerial process adjustment actions in a quality-control managerial role."
top20,15428,11-3051.01,Quality Control Systems Managers,"['Analyzing Data or Information', 'Communicating with Supervisors, Peers, or Subordinates']",Analyze data to inform operational decisions or activities. | Confer with organizational members to accomplish work activities.,0.7497946229502536,Not Intrapreneurial,High,,,Analyze quality control test results and provide feedback and interpretation to production management or staff.,"This task describes routine analysis and communication of QC results—operational monitoring and feedback without signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new products/processes, innovation/risk-taking, or explicit managerial actions to develop new business or eco-innovation (does not meet criteria I–VI). The metadata (quality control manager role; data analysis and communication) supports an interpretation as routine operational quality control rather than intrapreneurial activity."
top20,15415,11-3051.01,Quality Control Systems Managers,['Documenting/Recording Information'],Document organizational or operational procedures.,0.7497946229502536,Not Intrapreneurial,High,,,Review and update standard operating procedures or quality assurance manuals.,"This task describes routine documentation and maintenance of procedures (updating SOPs/QA manuals) without explicit signals of opportunity discovery, business planning, advocacy, implementation of new ventures, or eco-innovation. Context (Quality Control Systems Managers; documenting procedures) reinforces a procedural/administrative role rather than entrepreneurial initiative."
top20,15430,11-3051.01,Quality Control Systems Managers,"['Monitoring Processes, Materials, or Surroundings']",Monitor organizational procedures to ensure proper functioning.,0.7497946229502536,Not Intrapreneurial,High,,,Monitor performance of quality control systems to ensure effectiveness and efficiency.,"This task describes routine monitoring and maintenance of existing quality control systems (service/operational oversight) without mention of idea generation, planning new initiatives, implementation of new ventures, risk-taking, or eco-innovation. It aligns with regular process monitoring rather than criteria I–VI for intrapreneurial behaviors."
top20,15427,11-3051.01,Quality Control Systems Managers,['Interpreting the Meaning of Information for Others'],Communicate organizational information to customers or other stakeholders. | Communicate organizational policies and procedures.,0.7497946229502536,Not Intrapreneurial,High,,,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.","This task describes routine dissemination of quality control information (administrative/communication service) without signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, risk-taking, or eco-innovation. It aligns with maintenance/operational communication rather than criteria I–VI."
top20,15424,11-3051.01,Quality Control Systems Managers,"['Guiding, Directing, and Motivating Subordinates']","Direct organizational operations, projects, or services.",0.7497946229502536,Not Intrapreneurial,High,,,"Direct the tracking of defects, test results, or other regularly reported quality control data.","This is routine oversight of regularly reported QC data (monitoring and directing data tracking) rather than generating or implementing new opportunities, advocating new initiatives, or taking innovative/risky actions. It aligns with operational maintenance and reporting rather than criteria I–VI for intrapreneurship."
top20,15414,11-3051.01,Quality Control Systems Managers,['Evaluating Information to Determine Compliance with Standards'],Review documents or materials for compliance with policies or regulations.,0.7497946229502536,Not Intrapreneurial,High,,,Review quality documentation necessary for regulatory submissions and inspections.,"The task describes routine review of documentation for regulatory compliance and inspections, which is a maintenance/administrative activity without signals of opportunity discovery, planning/advocacy, implementation of new business activities, innovation, or eco-innovation (does not meet criteria I–VI)."
top20,14636,15-1221.00,Computer and Information Research Scientists,"['Guiding, Directing, and Motivating Subordinates']",Manage budgets for appropriate resource allocation.,0.742623550290242,Not Intrapreneurial,Medium,V.B,Manage and allocate resources (prepare/approve budgets) | Monitor and adjust operational finances,"Approve, prepare, monitor, and adjust operational budgets.","This is routine resource allocation and financial oversight without signals of opportunity discovery, idea generation, advocacy for new ventures, implementation of new products/processes, innovation, or eco-innovation. While it maps to role-specific managerial budget actions (V.B), the task description lacks entrepreneurial intent (planning new business, championing change, implementing innovation), so it is not intrapreneurial."
top20,14626,15-1221.00,Computer and Information Research Scientists,['Thinking Creatively'],Apply information technology to solve business or other applied problems.,0.742623550290242,Intrapreneurial,High,I | III | IV,Generate creative ideas and adapt principles to new uses | Implement new ideas and apply technology to solve applied problems | Show innovative behavior and apply novel approaches (risk-taking/creativity),"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.","The task explicitly involves generating and applying new technological ideas and innovation (Opportunity Discovery I, Innovative/Risk-Taking IV) and implementing new technology solutions (Execution III). As a computer and information research scientist role, it aligns with internal development of new applications and technical innovation."
top20,14624,15-1221.00,Computer and Information Research Scientists,"['Guiding, Directing, and Motivating Subordinates']",Assign duties or work schedules to employees.,0.742623550290242,Not Intrapreneurial,High,,Routine task assignment/scheduling | Operational prioritization without innovation or opportunity pursuit,Assign or schedule tasks to meet work priorities and goals.,"This is a routine administrative/managerial scheduling duty focused on operational task assignment without signals of opportunity discovery, innovation, advocacy for new initiatives, implementation of new ventures, or risk-taking (does not meet criteria I–IV or VI). While it is a managerial action, it lacks evidence of entrepreneurial scope or advancing new business activities."
top20,14625,15-1221.00,Computer and Information Research Scientists,"['Judging the Qualities of Objects, Services, or People']",Evaluate project designs to determine adequacy or feasibility.,0.742623550290242,Intrapreneurial,Medium,I | II,Anticipate problems and opportunities / assess feasibility issues | Plan by evaluating and preparing projects (informing resource deployment and project selection),Evaluate project plans and proposals to assess feasibility issues.,"Assessing feasibility of project plans entails anticipating problems and threats and judging whether opportunities are viable, aligning with opportunity discovery/assessment and planning/preparation behaviors (I and II). As a research-scientist context, this evaluation can inform resource allocation and project selection, supporting intrapreneurial decision-making."
top20,14623,15-1221.00,Computer and Information Research Scientists,['Analyzing Data or Information'],Analyze data to identify or resolve operational problems.,0.742623550290242,Intrapreneurial,High,I | III | IV | V.C,Identify and analyze problems to find new opportunities/solutions | Develop and implement technical solutions (lead idea development and execution) | Apply innovative/creative approaches and risk-taking in solution design | Experiment and adjust processes/solutions to surface improvements,Analyze problems to develop solutions involving computer hardware and software.,"The task requires problem analysis and developing solutions (matches opportunity discovery/idea generation and execution). In a research scientist role it implies designing new technical solutions, experimenting, and implementing innovations rather than routine maintenance, aligning with criteria I (identify opportunities/ideas), III (implement new ideas/lead solution development), IV (innovative behaviors), and V.C (experiment/adjust processes)."
top20,14633,15-1221.00,Computer and Information Research Scientists,['Thinking Creatively'],Design integrated computer systems.,0.742623550290242,Intrapreneurial,High,I | II | III | IV,"Generate creative ideas / new product ideas | Design new products and recombine resources (system design) | Implement new ideas and lead development of new systems | Show innovative, out-of-the-box technical solutions and risk-taking",Design computers and the software that runs them.,"Designing computers and their software involves creating new products/systems, generating technical solutions, planning and implementing integrated systems, and requires innovative, creative engineering—matching opportunity discovery, planning/design, execution, and risk-taking criteria (I–IV). The occupation context (research/design of integrated systems) supports intrapreneurial behavior."
top20,1346,17-2011.00,Aerospace Engineers,['Documenting/Recording Information'],Maintain operational records or records systems.,0.733847555931158,Not Intrapreneurial,High,,,Maintain records of performance reports for future reference.,"The task describes routine maintenance/administrative record-keeping without signaling idea generation, opportunity discovery, planning/advocacy, implementation of new initiatives, risk-taking, managerial actions to create new business, or eco-innovation."
top20,19601,17-2011.00,Aerospace Engineers,['Thinking Creatively'],Design systems to reduce harmful emissions.,0.733847555931158,Intrapreneurial,High,I | II | III | IV | VI,Generate creative ideas and search for new techniques/technologies | Design new products or recombine resources; develop plans to implement changes | Implement new designs and lead technical modifications | Show innovative behavior and take technical risks to achieve emissions reductions | Reduce emissions during the production/process or end-use (eco-innovation),"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.","The task involves designing or modifying systems to reduce emissions — an eco-innovation activity that requires creative idea generation, technical design/planning, and implementation actions within an organization. It matches opportunity discovery and idea generation (I), planning/design and advocacy (II), execution/implementation (III), innovative/risk-taking behaviors (IV), and explicitly eco-innovation (VI) in an aerospace engineering context."
top20,1340,17-2011.00,Aerospace Engineers,['Documenting/Recording Information'],Prepare procedural documents.,0.733847555931158,Not Intrapreneurial,High,,,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.","The task describes routine documentation and information recording without signals of opportunity discovery, planning/advocacy, implementation of new ventures, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation. It aligns with maintenance/administrative work rather than criteria I–VI."
top20,20726,17-2011.00,Aerospace Engineers,['Thinking Creatively'],Determine design criteria or specifications.,0.733847555931158,Intrapreneurial,High,II | III | VI,"Design new products or recombine resources (develop design criteria/specifications) | Plan by developing comprehensive plans (testing methods, costs, schedules) | Implement and manage new product requirements (quality standards, completion dates) | Address environmental standards and reduce environmental impact","Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.","Task involves designing new product/system criteria, planning tests, setting quality, cost, schedule and environmental standards — matching Planning/Preparation (II) and Execution/Implementation (III) behaviors; environmental standards also map to Eco-Innovation (VI). It requires converting ideas into feasible specifications, organizing implementation, and addressing environmental impacts."
top20,1339,17-2011.00,Aerospace Engineers,['Thinking Creatively'],Create models of engineering designs or methods.,0.733847555931158,Intrapreneurial,High,I | III | IV,"Generate creative ideas and new techniques (develop models/methods) | Implement new ideas and lead development/evaluation of designs | Show innovative, out-of-the-box technical behavior and take risks in methods","Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.","The task involves creating novel analytical methods and models to develop or modify designs, which aligns with opportunity discovery and idea generation (I), execution/implementation of new solutions (III), and innovative/risk-taking behavior (IV). As an aerospace engineering design task, it requires creative problem-solving and introduction of new technical approaches to meet customer requirements."
top20,1299,15-1242.00,Database Administrators,"['Thinking Creatively', 'Working with Computers']",Create databases to store electronic data. | Update computer database information.,0.719897459571385,Not Intrapreneurial,High,,Routine modification/maintenance of systems | Directing programmers/analysts (operational supervision),Modify existing databases and database management systems or direct programmers and analysts to make changes.,"The task describes routine modification/maintenance of databases and directing staff to implement changes—administrative/operational actions without signals of opportunity discovery, planning for new business, innovation, or risk-taking (no idea generation, advocacy, new product launch, or eco-innovation)."
top20,1314,15-1242.00,Database Administrators,['Getting Information'],Read documents to gather technical information.,0.719897459571385,Not Intrapreneurial,High,,,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.","This task is routine documentation review to understand existing processes (maintenance/knowledge transfer) with no signals of idea generation, planning/advocacy, implementation of new business activities, risk-taking, managerial entrepreneurial actions, or eco-innovation."
