task_id,run1,run2,run3,vote_count,consensus,agreement,unanimous,majority,segment,occupation_title,task_text
285,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,"Review and approve art materials, copy materials, and proofs of printed copy developed by staff members."
286,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,"Manage own accounts and projects, working within budget and scheduling requirements."
288,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,Present final layouts to clients for approval.
292,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,Review illustrative material to determine if it conforms to standards and specifications.
294,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,Create custom illustrations or other graphic elements.
295,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Art Directors,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing."
299,Intrapreneurial,Not Intrapreneurial,Intrapreneurial,3,Intrapreneurial,2,False,True,non_wawc,Graphic Designers,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts."
300,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,"Determine size and arrangement of illustrative material and copy, and select style and size of type."
301,Not Intrapreneurial,Not Intrapreneurial,Ambiguous,3,Not Intrapreneurial,2,False,True,non_wawc,Graphic Designers,Use computer software to generate new images.
303,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,"Draw and print charts, graphs, illustrations, and other artwork, using computer."
304,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,"Review final layouts and suggest improvements, as needed."
306,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,"Develop graphics and layouts for product illustrations, company logos, and Web sites."
307,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,Key information into computer equipment to create layouts for client or supervisor.
308,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Graphic Designers,"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes."
309,Not Intrapreneurial,Not Intrapreneurial,Intrapreneurial,3,Not Intrapreneurial,2,False,True,non_wawc,Graphic Designers,"Study illustrations and photographs to plan presentation of materials, products, or services."
737,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,Collect payment for transportation and accommodations from customer.
738,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,"Converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required."
739,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,"Compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs."
740,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,"Book transportation and hotel reservations, using computer or telephone."
741,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,middle60,Travel Agents,"Plan, describe, arrange, and sell itinerary tour packages and promotional travel incentives offered by various travel carriers."
742,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,"Provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations."
743,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Travel Agents,"Print or request transportation carrier tickets, using computer printer system or system link to travel carrier."
766,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Legal Secretaries and Administrative Assistants,Schedule and make appointments.
768,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Legal Secretaries and Administrative Assistants,"Organize and maintain law libraries, documents, and case files."
771,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Legal Secretaries and Administrative Assistants,Draft and type office memos.
773,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Legal Secretaries and Administrative Assistants,Submit articles and information from searches to attorneys for review and approval for use.
774,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Legal Secretaries and Administrative Assistants,"Complete various forms, such as accident reports, trial and courtroom requests, and applications for clients."
775,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations."
776,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Compile and record medical charts, reports, or correspondence, using typewriter or personal computer."
778,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Receive and route messages or documents, such as laboratory results, to appropriate staff."
781,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Maintain medical records, technical library, or correspondence files."
782,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records."
783,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Transmit correspondence or medical records by mail, e-mail, or fax."
784,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,"Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies."
786,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,Transcribe recorded messages or practitioners' diagnoses or recommendations into patients' medical records.
788,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Medical Secretaries and Administrative Assistants,Complete insurance or other claim forms.
966,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,"Manage backup, security and user help systems."
969,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers."
970,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Stay abreast of advances in technology.
971,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."
972,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.
974,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Control operational budget and expenditures.
978,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.
979,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.
980,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.
982,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Human Resources Managers,"Administer compensation, benefits, and performance management systems, and safety and recreation programs."
985,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Human Resources Managers,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits."
993,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Human Resources Managers,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates."
994,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,non_wawc,Human Resources Managers,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
1002,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Human Resources Managers,"Develop, administer, and evaluate applicant tests."
1020,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Maintain records of goods ordered and received.
1021,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales."
1022,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Prepare and process requisitions and purchase orders for supplies and equipment.
1025,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.
1026,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Analyze market and delivery systems to assess present and future material availability.
1031,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids."
1033,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Prepare bid awards requiring board approval.
1035,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Purchasing Managers,Administer online purchasing systems.
1143,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services."
1144,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history."
1145,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Analyze price proposals, financial reports, and other data and information to determine reasonable prices."
1146,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Monitor and follow applicable laws and regulations.
1148,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods."
1151,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories."
1152,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services."
1153,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.
1157,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased."
1250,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.
1251,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,Prepare reports that include the degree of risk involved in extending credit or lending money.
1252,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,"Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity."
1254,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval."
1255,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,"Generate financial ratios, using computer programs, to evaluate customers' financial status."
1257,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,"Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations."
1259,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,non_wawc,Credit Analysts,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans."
1267,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.
1269,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program."
1270,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment."
1272,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements."
1273,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic."
1274,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,Write or contribute to instructions or manuals to guide end users.
1275,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions."
1276,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language."
1277,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.
1279,Intrapreneurial,Not Intrapreneurial,Intrapreneurial,3,Intrapreneurial,2,False,True,middle60,Computer Programmers,"Assign, coordinate, and review work and activities of programming personnel."
1282,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.
1283,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.
1285,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,Oversee the daily performance of computer systems.
1287,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities."
1288,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support."
1290,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,"Develop training materials and procedures, or train users in the proper use of hardware or software."
1292,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,middle60,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades."
1299,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.
1300,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications."
1301,Not Intrapreneurial,Not Intrapreneurial,Intrapreneurial,3,Not Intrapreneurial,2,False,True,top20,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure."
1305,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Database Administrators,Specify users and user access levels for each segment of database.
1313,Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,2,False,True,top20,Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions."
1314,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Database Administrators,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records."
1317,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,Perform data backups and disaster recovery operations.
1318,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations."
1319,Not Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,2,False,True,middle60,Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware."
1320,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.
1321,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records."
1322,Not Intrapreneurial,Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,2,False,True,middle60,Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software."
1323,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes."
1325,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.
1329,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.
1339,Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,3,True,True,top20,Aerospace Engineers,"Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements."
1340,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Aerospace Engineers,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers."
1346,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,top20,Aerospace Engineers,Maintain records of performance reports for future reference.
1411,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Mechanical Engineers,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports."
1418,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Mechanical Engineers,Provide feedback to design engineers on customer problems or needs.
1420,Not Intrapreneurial,Intrapreneurial,Intrapreneurial,3,Intrapreneurial,2,False,True,middle60,Mechanical Engineers,"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems."
1475,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Mechanical Engineering Technologists and Technicians,"Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops."
1476,Not Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,3,True,True,middle60,Mechanical Engineering Technologists and Technicians,"Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign."
1477,Intrapreneurial,Not Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,2,False,True,middle60,Mechanical Engineering Technologists and Technicians,"Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing."
1482,Not Intrapreneurial,Intrapreneurial,Not Intrapreneurial,3,Not Intrapreneurial,2,False,True,middle60,Mechanical Engineering Technologists and Technicians,"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications."
