task_id,task_description
11374,"Maintain files, such as maintenance records, bills of lading, or cost reports."
11375,"Plan production commitments or timetables for business units, specific programs, or jobs, using sales forecasts."
11376,"Establish and prepare product construction directions and locations and information on required tools, materials, equipment, numbers of workers needed, and cost projections."
11377,"Compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders."
12960,Conduct internet-based and library research.
14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses."
14633,Design computers and the software that runs them.
14654,Monitor program performance to ensure efficient and problem-free operations.
14658,"Identify program deviance from standards, and suggest modifications to ensure compliance."
14672,Provide technical guidance or support for the development or troubleshooting of systems.
14683,Design and conduct hardware or software tests.
14713,"Respond to user email inquiries, or set up automated systems to send responses."
14733,"Review or update Web page content or links in a timely manner, using appropriate tools."
15206,"Configure, monitor, and maintain email applications or virus protection software."
15229,Research new software or design concepts.
15457,Prepare and manage biofuels plant or unit budgets.
15584,Register protocol patients with appropriate statistical centers as required.
15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.
15607,Communicate with laboratories or investigators regarding laboratory findings.
15711,Create or maintain database of customer accounts.
15717,"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising."
15884,Develop or maintain payment systems to ensure accuracy of vendor payments.
15894,"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes."
15897,"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity."
15899,Maintain logistics records in accordance with corporate policies.
15902,"Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns."
15975,Create or maintain plans or other documents related to sustainability projects.
15978,Collect information about waste stream management or green building practices to inform decision makers.
15983,Provide application or analytical support to researchers or traders on issues such as valuations or data.
16136,"Identify or monitor current and potential customers, using business intelligence tools."
16167,"Assign duties, responsibilities, and spans of authority to project personnel."
16274,"Track the flow of work forms, including in-house data flow or electronic forms transfer."
16793,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases."
16795,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes."
16966,Supply quality control data necessary for regulatory submissions.
18095,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research."
18296,"Draw or read maps, such as soil, contour, or plat maps."
18853,Analyze employment-related data and prepare required reports.
18919,Monitor progress of fundraising drives.
18989,"Analyze network data to determine network usage, disk space availability, or server function."
19010,Provide telephone support related to networking or connectivity issues.
19011,Research hardware or software products to meet technical networking or security needs.
19057,"Enter information into computerized court calendar, filing, or case management systems."
20058,Develop and maintain course Web sites.
20188,Monitor financial market trends to ensure that client plans are responsive.
20242,"Research current trends and new technology, such as printing production techniques, computer software, and design trends."
20243,Develop or maintain online help documentation.
20284,"Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports."
20327,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods."
20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software."
20491,"Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools."
20560,Write photograph captions.
20908,"Archive documents, conduct research, and read copy, using the internet and various computer programs."
21049,Develop Web sites.
21079,Make travel arrangements for attorneys.
21165,Schedule appointments with clients.
21317,"Examine, evaluate, or process loan applications."
21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.
21570,Obtain county land values and sales information about nearby properties to aid in establishment of property values.
21926,"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data."
22082,"Interpret engineering sketches, specifications, or drawings."
22083,"Prepare equipment inspection schedules, reliability schedules, work plans, or other records."
22086,"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation."
22417,"Respond to customer complaints, taking action as necessary."
22420,Locate unusual or unique information in response to specific requests.
22430,Arrange for interlibrary loans of materials not available in a particular library.
22527,Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.
22528,"Compile scripts, program notes, and other material related to productions."
22532,"Perform management activities, such as budgeting, scheduling, planning, and marketing."
22533,Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.
22535,Cut and edit film or tape to integrate component parts into desired sequences.
22537,Review film daily to check on work in progress and to plan for future filming.
22642,"Check reference materials, such as books, news files, or public records, to obtain relevant facts."
22648,"Develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences."
22657,"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material."
22658,Conduct research and interviews to determine which of a product's selling features should be promoted.
22660,"Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products."
23213,Calculate costs for billings or commissions.
23214,Prepare financial reports to monitor client or corporate finances.
23334,"Compose business correspondence for supervisors, managers, and professionals."
