task_id,task_description
16135,"Maintain library of model documents, templates, or other reusable knowledge assets."
16143,"Disseminate information regarding tools, reports, or metadata enhancements."
16146,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
16171,Develop and manage work breakdown structure (WBS) of information technology projects.
16179,Propose online or multiple-sales-channel campaigns to marketing executives.
16186,"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance."
16191,"Conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media Web sites."
16194,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas."
16200,Write or supervise the writing of game text and dialogue.
16203,Prepare two-dimensional concept layouts or three-dimensional mock-ups.
16270,Develop technical specifications for data management programming and communicate needs to information technology staff.
16277,"Prepare data analysis listings and activity, performance, or progress reports."
16283,Analyze clinical data using appropriate statistical tools.
16783,Instruct others in the selection and use of bioinformatics tools.
16788,Create or modify web-based bioinformatics tools.
16791,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics."
16968,Review data from contract laboratories to ensure accuracy and regulatory compliance.
16976,Evaluate analytical methods and procedures to determine how they might be improved.
18032,Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.
18038,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.
18100,"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research."
18103,Provide consultation to nurses regarding hardware or software configuration.
18157,Promote awareness or use of alternative or renewable energy sources.
18278,"Program farm equipment, such as variable-rate planting equipment or pesticide sprayers, based on input from crop scouting and analysis of field condition variability."
18293,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history."
18564,Conduct verifications of employment.
18857,Contact job applicants to inform them of the status of their applications.
18865,"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals."
18908,"Design or produce materials such as posters, Web sites, or newsletters to promote, market, or advertise fundraising events."
18918,"Monitor budgets, expense reports, or other financial data for fundraising organizations."
18924,"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds."
18932,Write reports or prepare presentations to communicate fundraising program data.
19002,Troubleshoot network or connectivity problems for users or user groups.
19053,Review dockets of pending litigation to ensure adequate progress.
19054,"Verify that all files, complaints, or other papers are available and in the proper order."
19056,Coordinate judges' meeting and appointment schedules.
19594,Gather information related to projects' environmental sustainability or operational efficiency.
19601,"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions."
19607,Design energy-efficient or environmentally sound civil structures.
19648,Write or install energy management routines for building automation systems.
19826,Present information to customers about the energy efficiency or environmental impact of scientific or technical products.
20330,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).
20476,Monitor training costs and prepare budget reports to justify expenditures.
20492,"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data."
20557,"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences."
20619,Verify accuracy of materials lists.
20620,Verify customer credit ratings.
20726,"Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates."
20735,"Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification."
20737,"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software."
20858,Verify energy bills and meter readings.
20861,Prepare energy-related project reports or related documentation.
20945,Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.
20946,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.
21314,Prepare operational or risk reports for management analysis.
21315,Evaluate data pertaining to costs to plan budgets.
21329,Review reports of securities transactions or price lists to analyze market conditions.
21522,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets."
21928,Check dimensions of materials to be used and assign numbers to lists of materials.
21937,Prepare colored drawings of landscape and interior designs for presentation to client.
22077,"Design molds, tools, dies, jigs, or fixtures for use in manufacturing processes."
22416,"Code, classify, and catalog books, publications, films, audio-visual aids, and other library materials, based on subject matter or standard library classification systems."
22425,"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials."
22427,"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects."
22529,"Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters."
22539,Write and submit proposals to bid on contracts for projects.
23333,"Obtain computer printout of policy cancellations, or retrieve cancellation cards from file."
